,DAILY_STRESS,FLOW,DAILY_SHOUTING,WEEKLY_MEDITATION,AGE,GENDER,WEIGHTED_SCORE
0,2,4,5,5,36 to 50,Female,68
1,3,2,2,6,36 to 50,Female,76
2,3,2,2,3,36 to 50,Female,73
3,3,5,5,0,51 or more,Female,70
4,1,0,0,5,51 or more,Female,75
5,2,1,2,3,51 or more,Female,66
6,2,8,0,10,51 or more,Male,136
7,4,2,2,2,21 to 35,Female,72
8,3,2,2,10,21 to 35,Female,80
9,4,2,0,1,51 or more,Female,85
10,4,2,3,6,36 to 50,Female,69
11,4,1,1,7,21 to 35,Male,77
12,2,1,0,7,21 to 35,Male,84
13,3,7,3,5,36 to 50,Female,103
14,3,0,2,4,21 to 35,Female,60
15,3,2,2,10,51 or more,Female,80
16,2,2,1,3,21 to 35,Male,80
17,2,1,3,6,21 to 35,Male,62
18,3,2,7,7,36 to 50,Female,42
19,1,4,0,2,36 to 50,Male,100
20,4,1,3,5,21 to 35,Male,61
21,5,6,7,10,21 to 35,Female,73
22,2,4,2,8,36 to 50,Male,92
23,2,6,1,7,36 to 50,Male,112
24,4,1,3,10,36 to 50,Female,66
25,5,2,6,1,21 to 35,Male,43
26,4,5,4,1,21 to 35,Male,78
27,4,0,1,2,21 to 35,Female,65
28,4,1,3,8,36 to 50,Female,64
29,2,2,3,7,Less than 20,Female,70
30,3,2,0,10,21 to 35,Male,94
31,1,4,1,1,36 to 50,Female,92
32,5,4,10,1,36 to 50,Female,29
33,3,2,0,7,51 or more,Female,91
34,2,2,3,10,21 to 35,Male,73
35,3,1,6,10,21 to 35,Male,45
36,3,5,3,10,51 or more,Female,94
37,5,0,10,10,36 to 50,Female,10
38,1,3,2,10,51 or more,Male,87
39,3,5,3,10,51 or more,Female,94
40,2,4,1,8,21 to 35,Female,99
41,3,0,2,2,51 or more,Female,58
42,3,0,3,10,51 or more,Female,59
43,2,5,3,8,21 to 35,Male,92
44,3,1,3,3,36 to 50,Female,59
45,5,1,7,2,36 to 50,Female,30
46,3,4,1,10,51 or more,Female,101
47,2,3,2,7,21 to 35,Female,84
48,2,3,2,10,51 or more,Female,87
49,3,4,2,1,36 to 50,Female,85
50,3,6,4,9,21 to 35,Female,93
51,5,4,4,5,21 to 35,Female,75
52,2,1,1,2,36 to 50,Male,72
53,2,3,3,5,51 or more,Female,75
54,2,2,1,4,21 to 35,Female,81
55,4,5,8,1,Less than 20,Female,50
56,2,3,3,2,36 to 50,Female,72
57,4,4,2,5,36 to 50,Male,89
58,3,2,0,7,51 or more,Female,91
59,5,0,2,0,21 to 35,Male,56
60,5,0,2,0,21 to 35,Male,56
61,3,3,1,4,21 to 35,Female,88
